VCD info: dumpfile Sumadores.vcd opened for output.
No. Suma =          78: Operador A = 130, Operador B =  25, Sumador_1 = 155, Sumador_2 =   z, Sumador_3=  z
No. Suma =          79: Operador A = 207, Operador B = 169, Sumador_1 = 120, Sumador_2 =   z, Sumador_3=  z
No. Suma =          80: Operador A = 157, Operador B =  31, Sumador_1 = 188, Sumador_2 =   z, Sumador_3=  z
No. Suma =          81: Operador A = 242, Operador B =   3, Sumador_1 = 245, Sumador_2 =   z, Sumador_3=  z
No. Suma =          82: Operador A = 159, Operador B =  85, Sumador_1 = 244, Sumador_2 =   z, Sumador_3=  z
No. Suma =          83: Operador A = 223, Operador B =  27, Sumador_1 = 250, Sumador_2 =   z, Sumador_3=  z
No. Suma =          84: Operador A =  70, Operador B =  25, Sumador_1 =  95, Sumador_2 =   z, Sumador_3=  z
No. Suma =          85: Operador A = 230, Operador B = 229, Sumador_1 = 203, Sumador_2 =   z, Sumador_3=  z
No. Suma =          86: Operador A = 252, Operador B = 202, Sumador_1 = 198, Sumador_2 =   z, Sumador_3=  z
No. Suma =          87: Operador A = 221, Operador B = 145, Sumador_1 = 110, Sumador_2 =   z, Sumador_3=  z
No. Suma =          88: Operador A = 125, Operador B = 125, Sumador_1 = 250, Sumador_2 =   z, Sumador_3=  z
No. Suma =          89: Operador A = 170, Operador B = 211, Sumador_1 = 125, Sumador_2 =   z, Sumador_3=  z
No. Suma =          90: Operador A =  94, Operador B = 147, Sumador_1 = 241, Sumador_2 =   z, Sumador_3=  z
No. Suma =          91: Operador A = 230, Operador B =  64, Sumador_1 =  38, Sumador_2 =   z, Sumador_3=  z
No. Suma =          92: Operador A =  88, Operador B = 116, Sumador_1 = 204, Sumador_2 =   z, Sumador_3=  z
No. Suma =          93: Operador A =  51, Operador B = 178, Sumador_1 = 229, Sumador_2 =   z, Sumador_3=  z
No. Suma =          94: Operador A = 146, Operador B =  27, Sumador_1 = 173, Sumador_2 =   z, Sumador_3=  z
No. Suma =          95: Operador A =  99, Operador B =  45, Sumador_1 = 144, Sumador_2 =   z, Sumador_3=  z
No. Suma =          96: Operador A = 234, Operador B = 188, Sumador_1 = 166, Sumador_2 =   z, Sumador_3=  z
No. Suma =          97: Operador A =  10, Operador B =  76, Sumador_1 =  86, Sumador_2 =   z, Sumador_3=  z
No. Suma =          98: Operador A = 110, Operador B =  39, Sumador_1 = 149, Sumador_2 =   z, Sumador_3=  z
No. Suma =          99: Operador A = 126, Operador B = 142, Sumador_1 =  12, Sumador_2 =   z, Sumador_3=  z
No. Suma =         100: Operador A = 247, Operador B =  47, Sumador_1 =  38, Sumador_2 =   z, Sumador_3=  z
Semilla:  2077360610
  PwrCntr[0]:     100500
  PwrCntr[1]:          0
  PwrCntr[2]:          0
